C C
C1=CNNC1 C1=CN[NH:1]C1
C1=CNNC1 C1=C[CH2:1]NN1
C1=CNNC1 C1=C[NH:1]NC1
C1=CNNC1 C1=[CH:1]CNN1
C1=CNNC1 C1=[CH:1]NNC1
C1=CNNC=C1 C1=CNN[CH:1]=C1
C1=CNNC=C1 C1=CN[NH:1]C=C1
C1=CNNC=C1 C1=C[CH:1]=CNN1
C1=CNNCC1 C1=CNN[CH2:1]C1
C1=CNNCC1 C1=CN[NH:1]CC1
C1=CNNCC1 C1=C[CH2:1]CNN1
C1=CNNCC1 C1=C[NH:1]NCC1
C1=CNNCC1 C1=[CH:1]CCNN1
C1=CNNCC1 C1=[CH:1]NNCC1
C1=CNNCN1 C1=CN[CH2:1]NN1
C1=CNNCN1 C1=CN[NH:1]CN1
C1=CNNCN1 C1=C[NH:1]CNN1
C1=CNNCN1 C1=C[NH:1]NCN1
C1=CNNCN1 C1=[CH:1]NCNN1
C1=CNNCN1 C1=[CH:1]NNCN1
C1=CNNN1 C1=C[NH:1]NN1
C1=CNNN1 C1=[CH:1]NNN1
C1=CNNNC1 C1=CNN[NH:1]C1
C1=CNNNC1 C1=CN[NH:1]NC1
C1=CNNNC1 C1=C[CH2:1]NNN1
C1=CNNNC1 C1=C[NH:1]NNC1
C1=CNNNC1 C1=[CH:1]CNNN1
C1=CNNNC1 C1=[CH:1]NNNC1
C1=CNNNCN1 C1=CNN[NH:1]CN1
C1=CNNNCN1 C1=CN[CH2:1]NNN1
C1=CNNNCN1 C1=CN[NH:1]NCN1
C1=CNNNCN1 C1=C[NH:1]CNNN1
C1=CNNNCN1 C1=C[NH:1]NNCN1
C1=CNNNCN1 C1=[CH:1]NCNNN1
C1=CNNNCN1 C1=[CH:1]NNNCN1
C1=CNSC=C1 C1=CNS[CH:1]=C1
C1=CNSC=C1 C1=CSN[CH:1]=C1
C1=CNSC=C1 C1=C[CH:1]=CNS1
C1=CNSC=C1 C1=C[CH:1]=CSN1
C1=CNSC=C1 C1=C[CH:1]=[CH:1]NS1
C1=CNSC=C1 C1=C[CH:1]=[CH:1]SN1
C1=CNSCC1 C1=CNS[CH2:1]C1
C1=CNSCC1 C1=C[CH2:1]CSN1
C1=CNSCC1 C1=C[CH2:1][CH2:1]SN1
C1=CNSCC1 C1=[CH:1]CCSN1
C1=CNSCC1 C1=[CH:1]NSCC1
C1=CNSCC1 C1C[CH:1]=[CH:1]NS1
C1=CNSN=C1 C1=C[CH:1]=NSN1
C1=CNSN=C1 C1=NSNC=[CH:1]1
C1=CNSN=C1 C1=NSN[CH:1]=C1
C1=CO1 C1=[CH:1]O1
C1=CO1 O1[CH:1]=[CH:1]1
C1=COC1 C1=[CH:1]CO1
C1=COC1 C1=[CH:1]OC1
C1=COC1 C1O[CH:1]=[CH:1]1
C1=COC=C1 C1=CO[CH:1]=C1
C1=COC=C1 C1=C[CH:1]=CO1
C1=COC=C1 C1=C[CH:1]=[CH:1]O1
C1=COC=CCC1 C1=COC=[CH:1]CC1
C1=COC=CCC1 C1=CO[CH:1]=CCC1
C1=COC=CO1 C1=CO[CH:1]=CO1
C1=COC=CO1 C1=CO[CH:1]=[CH:1]O1
C1=COC=N1 C1=CO[CH:1]=N1
C1=COC=N1 C1=NC=[CH:1]O1
C1=COC=N1 C1=N[CH:1]=CO1
C1=COC=NC=N1 C1=COC=N[CH:1]=N1
C1=COC=NC=N1 C1=CO[CH:1]=NC=N1
C1=COC=NC=N1 C1=NC=N[CH:1]=CO1
C1=COC=NC=N1 C1=NC=[CH:1]OC=N1
C1=COCC1 C1=CO[CH2:1]C1
C1=COCC1 C1=C[CH2:1]CO1
C1=COCC1 C1=C[CH2:1][CH2:1]O1
C1=COCC1 C1=[CH:1]CCO1
C1=COCC1 C1=[CH:1]OCC1
C1=COCC1 C1C[CH:1]=[CH:1]O1
C1=COCCC1 C1=COC[CH2:1]C1
C1=COCCC1 C1=CO[CH2:1]CC1
C1=COCCC1 C1=C[CH2:1]CCO1
C1=COCCC1 C1=C[CH2:1][CH2:1]CO1
C1=COCCC1 C1=[CH:1]CCCO1
C1=COCCC1 C1=[CH:1]OCCC1
C1=COCNCC1 C1=COCN[CH2:1]C1
C1=COCNCC1 C1=COC[NH:1]CC1
C1=COCNCC1 C1=CO[CH2:1]NCC1
C1=COCNCC1 C1=C[CH2:1]CNCO1
C1=COCNCC1 C1=C[CH2:1][CH2:1]NCO1
C1=COCNCC1 C1=[CH:1]CCNCO1
C1=COCNCC1 C1=[CH:1]OCNCC1
C1=COCO1 C1=[CH:1]OCO1
C1=COCO1 C1O[CH:1]=[CH:1]O1
C1=CONN=C1 C1=C[CH:1]=NNO1
C1=COOCC1 C1=[CH:1]CCOO1
C1=COOCC1 C1=[CH:1]OOCC1
C1=COOCC1 C1C[CH:1]=[CH:1]OO1
C1=CS1 C1=[CH:1]S1
C1=CS1 S1[CH:1]=[CH:1]1
C1=CSC1 C1=C[CH2:1]S1
C1=CSC1 C1=C[S:1]C1
C1=CSC1 C1=C[S:1][CH2:1]1
C1=CSC1 C1=[CH:1]CS1
C1=CSC1 C1=[CH:1]SC1
C1=CSC1 C1=[CH:1][CH2:1]S1
C1=CSC1 C1S[CH:1]=[CH:1]1
C1=CSC=C1 C1=CS[CH:1]=C1
C1=CSC=C1 C1=C[CH:1]=CS1
C1=CSC=C1 C1=C[CH:1]=[CH:1]S1
C1=CSC=C1 C1=C[S:1]C=C1
C1=CSC=C1 C1=C[S:1][CH:1]=C1
C1=CSC=C1 C1=[CH:1][CH:1]=CS1
C1=CSC=CC1 C1=CSC=[CH:1]C1
C1=CSC=CC1 C1=CS[CH:1]=CC1
C1=CSC=CC1 C1=C[CH2:1]C=CS1
C1=CSC=CC1 C1=C[CH2:1][CH:1]=CS1
C1=CSC=CCC1 C1=CSC=C[CH2:1]C1
C1=CSC=CCC1 C1=CSC=[CH:1]CC1
C1=CSC=CCC1 C1=CSC=[CH:1][CH2:1]C1
C1=CSC=CCC1 C1=CS[CH:1]=CCC1
C1=CSC=CCC1 C1=CS[CH:1]=[CH:1]CC1
C1=CSC=CCC1 C1=C[CH2:1][CH2:1]C=CS1
C1=CSC=CN1 C1=CSC=[CH:1]N1
C1=CSC=CN1 C1=CS[CH:1]=CN1
C1=CSC=CN1 C1=C[NH:1]C=CS1
C1=CSC=CN1 C1=C[NH:1][CH:1]=CS1
C1=CSC=CO1 C1=CSC=[CH:1]O1
C1=CSC=CO1 C1=CS[CH:1]=CO1
C1=CSC=CO1 C1=CS[CH:1]=[CH:1]O1
C1=CSC=N1 C1=CS[CH:1]=N1
C1=CSC=N1 C1=NC=[CH:1]S1
C1=CSC=N1 C1=N[CH:1]=CS1
C1=CSC=NC1 C1=CS[CH:1]=NC1
C1=CSC=NC1 C1=C[CH2:1]N=CS1
C1=CSC=NC1 C1=NC[CH:1]=CS1
C1=CSC=NC1 C1=N[CH2:1][CH:1]=CS1
C1=CSC=[SH]SC1 C1=CSC=[SH:1]SC1
C1=CSC=[SH]SC1 C1=CSC=[SH:1][S:1]C1
C1=CSC=[SH]SC1 C1=CSC=[SH][S:1]C1
C1=CSC=[SH]SC1 C1=CS[CH:1]=[SH]SC1
C1=CSC=[SH]SC1 C1=[SH]SCC=[CH:1]S1
C1=CSC=[SH]SC1 C1=[SH]SC[CH:1]=CS1
C1=CSC=[SH]SC1 C1=[SH]SC[CH:1]=[CH:1]S1
C1=CSCC1 C1=CS[CH2:1]C1
C1=CSCC1 C1=C[CH2:1]CS1
C1=CSCC1 C1=C[CH2:1][CH2:1]S1
C1=CSCC1 C1=C[S:1]CC1
C1=CSCC1 C1=[CH:1]CCS1
C1=CSCC1 C1=[CH:1]SCC1
C1=CSCC1 C1C[CH:1]=[CH:1]S1
C1=CSCCCC1 C1=CSC[CH2:1]CC1
C1=CSCCCC1 C1=CS[CH2:1]CCC1
C1=CSCCCC1 C1=CS[CH2:1][CH2:1]CC1
C1=CSCCCC1 C1=C[CH2:1]CCCS1
C1=CSCCCC1 C1=[CH:1]CCCCS1
C1=CSCCCC1 C1=[CH:1]SCCCC1
C1=CSCCCC1 C1=[CH:1][CH2:1]CCCS1
C1=CSCCN1 C1=CSC[CH2:1]N1
C1=CSCCN1 C1=CS[CH2:1]CN1
C1=CSCCN1 C1=CS[CH2:1][CH2:1]N1
C1=CSCCN1 C1=[CH:1]NCCS1
C1=CSCCN1 C1=[CH:1]SCCN1
C1=CSCCO1 C1=CSC[CH2:1]O1
C1=CSCCO1 C1=CS[CH2:1]CO1
C1=CSCCO1 C1=CS[CH2:1][CH2:1]O1
C1=CSCCO1 C1=[CH:1]OCCS1
C1=CSCCO1 C1=[CH:1]SCCO1
C1=CSCCO1 C1CS[CH:1]=[CH:1]O1
C1=CSCN1 C1=CS[CH2:1]N1
C1=CSCN1 C1=[CH:1]NCS1
C1=CSCN1 C1=[CH:1]SCN1
C1=CSCS1 C1=CS[CH2:1]S1
C1=CSCS1 C1=C[S:1]CS1
C1=CSCS1 C1=C[S:1][CH2:1]S1
C1=CSCS1 C1=[CH:1]SCS1
C1=CSCS1 C1S[CH:1]=[CH:1]S1
C1=CSCSC1 C1=CS[CH2:1]SC1
C1=CSCSC1 C1=C[CH2:1]SCS1
C1=CSCSC1 C1=[CH:1]CSCS1
C1=CSCSC1 C1=[CH:1]SCSC1
C1=CSCSC1 C1SC[CH:1]=[CH:1]S1
C1=CSN=C1 C1=C[CH:1]=NS1
C1=CSN=C1 C1=NSC=[CH:1]1
C1=CSN=C1 C1=NS[CH:1]=C1
C1=CSN=C1 C1=NS[CH:1]=[CH:1]1
C1=CSN=C1 C1=[CH:1][CH:1]=NS1
C1=CSN=N1 C1=[CH:1]N=NS1
C1=CSN=N1 C1=[CH:1]SN=N1
C1=CSN=N1 N1=N[CH:1]=[CH:1]S1
C1=CSNC1 C1=CS[NH:1]C1
C1=CSNC1 C1=C[CH2:1]NS1
C1=CSNC1 C1=[CH:1]CNS1
C1=CSNC1 C1=[CH:1]SNC1
C1=CSNCC1 C1=CSN[CH2:1]C1
C1=CSNCC1 C1=C[CH2:1]CNS1
C1=CSNCC1 C1=C[CH2:1][CH2:1]NS1
C1=CSNCC1 C1=[CH:1]CCNS1
C1=CSNCC1 C1=[CH:1]SNCC1
C1=CSNCC1 C1C[CH:1]=[CH:1]SN1
C1=CSNN1 C1=CS[NH:1]N1
C1=CSNN1 C1=[CH:1]NNS1
C1=CSNN1 C1=[CH:1]SNN1
C1=CS[NH]1 C1=[CH:1]S[NH]1
C1=CS[NH]1 C1=[CH:1][NH]S1
C1=C[NH]C=C1 C1=C[CH:1]=C[NH]1
C1=C[NH]C=C1 C1=C[CH:1]=[CH:1][NH]1
C1=C[NH]C=C1 C1=C[NH:1]C=C1
C1=C[NH]C=C1 C1=C[NH:1][CH:1]=C1
C1=C[NH]C=C1 C1=C[NH][CH:1]=C1
C1=C[NH]C=C1 C1=[CH:1][CH:1]=C[NH]1
C1=C[NH]C=N1 C1=C[NH:1]C=N1
C1=C[NH]C=N1 C1=C[NH][CH:1]=N1
C1=C[NH]C=N1 C1=NC=[CH:1][NH]1
C1=C[NH]C=N1 C1=N[CH:1]=C[NH]1
C1=C[NH]C=N1 C1=N[CH:1]=[CH:1][NH]1
C1=C[NH]N=C1 C1=C[CH:1]=N[NH]1
C1=C[NH]N=C1 C1=C[NH:1]N=C1
C1=C[NH]N=C1 C1=N[NH]C=[CH:1]1
C1=C[NH]N=C1 C1=N[NH][CH:1]=C1
C1=C[NH]N=N1 C1=C[NH:1]N=N1
C1=C[NH]N=N1 C1=[CH:1]N=N[NH]1
C1=C[NH]N=N1 C1=[CH:1][NH]N=N1
C1=C[NH][NH]1 C1=C[NH:1][NH]1
C1=C[NH][NH]1 C1=[CH:1][NH][NH]1
C1=C[SH]=C1 C1=C[CH:1]=[SH]1
C1=C[SH]=C1 C1=C[SH:1]=C1
C1=C[SH]=C1 C1=[CH:1][SH:1]=C1
C1=C[SH]=C1 C1=[SH]C=[CH:1]1
C1=C[SH]=C1 C1=[SH][CH:1]=C1
C1=C[SH]=CCC1 C1=C[CH2:1]CC=[SH]1
C1=C[SH]=CCC1 C1=C[SH]=C[CH2:1]C1
C1=C[SH]=CCC1 C1=C[SH]=[CH:1]CC1
C1=C[SH]=CCC1 C1=C[SH]=[CH:1][CH2:1]C1
C1=C[SH]=CCC1 C1=[SH]C=[CH:1]CC1
C1=C[SH]=CCC1 C1=[SH][CH:1]=CCC1
C1=C[SH]=CCC=N1 C1=C[SH:1]=CCC=N1
C1=C[SH]=CCC=N1 C1=C[SH]=CC[CH:1]=N1
C1=C[SH]=CCC=N1 C1=C[SH]=C[CH2:1]C=N1
C1=C[SH]=CCC=N1 C1=C[SH]=[CH:1]CC=N1
C1=C[SH]=CCC=N1 C1=C[SH]=[CH:1][CH2:1]C=N1
C1=C[SH]=CCC=N1 C1=NC=[CH:1][SH]=CC1
C1=C[SH]=CCC=N1 C1=N[CH:1]=C[SH]=CC1
C1=C[SH]=CSCC1 C1=C[CH2:1]CSC=[SH]1
C1=C[SH]=CSCC1 C1=C[CH2:1][CH2:1]SC=[SH]1
C1=C[SH]=CSCC1 C1=C[SH:1]=CSCC1
C1=C[SH]=CSCC1 C1=C[SH]=CS[CH2:1]C1
C1=C[SH]=CSCC1 C1=C[SH]=[CH:1]SCC1
C1=C[SH]=CSCC1 C1=[SH]C=[CH:1]CCS1
C1=C[SH]=CSCC1 C1=[SH][CH:1]=CCCS1
C1=NC1 C1=N[CH2:1]1
C1=NC1 C1N=[CH:1]1
C1=NC1 N1=[CH:1][CH2:1]1
C1=NC=N1 C1=N[CH:1]=N1
C1=NC=NC1 C1=NC=N[CH2:1]1
C1=NC=NC1 C1=NC[CH:1]=N1
C1=NC=NC1 C1=N[CH:1]=NC1
C1=NC=NC=N1 C1=NC=N[CH:1]=N1
C1=NC=NN=C1 C1=NN=C[CH:1]=N1
C1=NC=NN=C1 C1=NN=[CH:1]C=N1
C1=NC=NN=C1 C1=NN=[CH:1]N=C1
C1=NC=NN=CN1 C1=NC=NN=C[NH:1]1
C1=NC=NN=CN1 C1=NN=CN[CH:1]=N1
C1=NC=NN=CN1 C1=NN=[CH:1]N=CN1
C1=NC=NNC=N1 C1=NC=NN[CH:1]=N1
C1=NC=NNC=N1 C1=NC=N[CH:1]=NN1
C1=NC=NNC=N1 C1=NC=N[NH:1]C=N1
C1=NC=NNC=N1 C1=NNC=N[CH:1]=N1
C1=NC=NSN1 C1=NSN[CH:1]=N1
C1=NC=NSN1 C1=N[CH:1]=NSN1
C1=NCC1 C1=NC[CH2:1]1
C1=NCC1 C1=N[CH2:1]C1
C1=NCC1 C1=N[CH2:1][CH2:1]1
C1=NCC1 C1C[CH:1]=N1
C1=NCCC1 C1=NCC[CH2:1]1
C1=NCCC1 C1=NC[CH2:1]C1
C1=NCCC1 C1=N[CH2:1]CC1
C1=NCCC1 C1CN=[CH:1]C1
C1=NCCCC1 C1=NCCC[CH2:1]1
C1=NCCCC1 C1=NCC[CH2:1]C1
C1=NCCCC1 C1=NCC[CH2:1][CH2:1]1
C1=NCCCC1 C1=NC[CH2:1]CC1
C1=NCCCC1 C1=N[CH2:1]CCC1
C1=NCCCC1 C1=N[CH2:1][CH2:1]CC1
C1=NCCCC1 C1CC[CH:1]=NC1
C1=NCCCN1 C1=NCCC[NH:1]1
C1=NCCCN1 C1=NCC[CH2:1]N1
C1=NCCCN1 C1=NC[CH2:1]CN1
C1=NCCCN1 C1=N[CH2:1]CCN1
C1=NCCCN1 C1CN=[CH:1]NC1
C1=NCCN1 C1=NCC[NH:1]1
C1=NCCN1 C1=NC[CH2:1]N1
C1=NCCN1 C1=N[CH2:1]CN1
C1=NCCN1 C1=N[CH2:1][CH2:1]N1
C1=NCCN1 C1CN[CH:1]=N1
C1=NCCNC1 C1=NCCN[CH2:1]1
C1=NCCNC1 C1=NCC[NH:1]C1
C1=NCCNC1 C1=NC[CH2:1]NC1
C1=NCCNC1 C1=N[CH2:1]CNC1
C1=NCCNC1 C1=N[CH2:1][CH2:1]NC1
C1=NCCNC1 C1CNC[CH:1]=N1
C1=NCN1 C1=NC[NH:1]1
C1=NCN1 C1=N[CH2:1]N1
C1=NCN1 C1N=[CH:1]N1
C1=NCN=C1 C1=NCN=[CH:1]1
C1=NCN=C1 C1=N[CH2:1]N=C1
C1=NCNN1 C1=NCN[NH:1]1
C1=NCNN1 C1=NC[NH:1]N1
C1=NCNN1 C1=N[CH2:1]NN1
C1=NCNN1 C1N=[CH:1]NN1
C1=NCNNN1 C1=NCNN[NH:1]1
C1=NCNNN1 C1=NCN[NH:1]N1
C1=NCNNN1 C1=NC[NH:1]NN1
C1=NCNNN1 C1=N[CH2:1]NNN1
C1=NCNNN1 C1N=[CH:1]NNN1
C1=NCSC1 C1=NCS[CH2:1]1
C1=NCSC1 C1=NC[S:1]C1
C1=NCSC1 C1=N[CH2:1]SC1
C1=NCSC1 C1N=[CH:1]CS1
C1=NN=CCC1 C1=NN=C[CH2:1]C1
C1=NN=CCC1 C1=NN=C[CH2:1][CH2:1]1
C1=NN=CCC1 C1=NN=[CH:1]CC1
C1=NN=CN=N1 C1=NN=[CH:1]N=N1
C1=NN=CO1 C1=NN=[CH:1]O1
C1=NN=C[NH]1 C1=NN=C[NH:1]1
C1=NN=C[NH]1 C1=NN=[CH:1][NH]1
C1=NN=NCN=N1 C1=NN=N[CH2:1]N=N1
C1=NN=NCN=N1 C1N=NN=[CH:1]N=N1
C1=NNC1 C1=NN[CH2:1]1
C1=NNC1 C1NN=[CH:1]1
C1=NNC=NN1 C1=NNC=N[NH:1]1
C1=NNC=NN1 C1=NN[CH:1]=NN1
C1=NNCC1 C1=NNC[CH2:1]1
C1=NNCC1 C1=NN[CH2:1]C1
C1=NNCC1 C1=NN[CH2:1][CH2:1]1
C1=NNCC1 C1C[CH:1]=NN1
C1=NNCN1 C1=NNC[NH:1]1
C1=NNCN1 C1=NN[CH2:1]N1
C1=NNCN1 C1=N[NH:1]CN1
C1=NNCN1 C1NN=[CH:1]N1
C1=NNCNN1 C1=NNCN[NH:1]1
C1=NNCNN1 C1=NNC[NH:1]N1
C1=NNCNN1 C1=NN[CH2:1]NN1
C1=NNCNN1 C1=N[NH:1]CNN1
C1=NNCNN1 C1NN=[CH:1]NN1
C1=NN[SH]=C1 C1=NN[SH:1]=C1
C1=NN[SH]=C1 C1=NN[SH]=[CH:1]1
C1=NN[SH]=C1 C1=[SH]NN=[CH:1]1
C1=NSC1 C1=NS[CH2:1]1
C1=NSC1 C1SN=[CH:1]1
C1=NSC1 N1=[CH:1][CH2:1]S1
C1=NSCC1 C1=NSC[CH2:1]1
C1=NSCC1 C1=NS[CH2:1]C1
C1=NSCC1 C1=NS[CH2:1][CH2:1]1
C1=NSCC1 C1C[CH:1]=NS1
C1=NSN=C1 C1=NSN=[CH:1]1
C1=NSN=C1 N1=[CH:1][CH:1]=NS1
C1=N[NH]C=N1 C1=N[CH:1]=N[NH]1
C1=N[NH]C=N1 C1=N[NH:1]C=N1
C1=N[NH]C=N1 C1=N[NH][CH:1]=N1
C1=N[NH]N=C1 C1=N[NH:1]N=C1
C1=N[NH]N=C1 C1=N[NH]N=[CH:1]1
C1=N[NH]N=N1 C1=N[NH:1]N=N1
C1=N[NH]N=N1 N1=N[CH:1]=N[NH]1
C1=N[NH]O1 C1=N[NH:1]O1
C1=N[NH]O1 N1=[CH:1]O[NH]1
C1=N[NH][NH]1 C1=N[NH:1][NH]1
C1=N[NH][NH]1 N1=[CH:1][NH][NH]1
C1=[SH]CC1 C1=[SH:1]CC1
C1=[SH]CC1 C1=[SH]C[CH2:1]1
C1=[SH]CC1 C1=[SH][CH2:1]C1
C1=[SH]CC1 C1C[CH:1]=[SH]1
C1=[SH]CCC1 C1=[SH:1]CCC1
C1=[SH]CCC1 C1=[SH]CC[CH2:1]1
C1=[SH]CCC1 C1=[SH]C[CH2:1]C1
C1=[SH]CCC1 C1=[SH][CH2:1]CC1
C1=[SH]CCC1 C1=[SH][CH2:1][CH2:1]C1
C1=[SH]CCC1 C1C[SH]=[CH:1]C1
C1=[SH]CCCS1 C1=[SH:1]CCCS1
C1=[SH]CCCS1 C1=[SH]CC[CH2:1]S1
C1=[SH]CCCS1 C1=[SH]C[CH2:1]CS1
C1=[SH]CCCS1 C1=[SH][CH2:1]CCS1
C1=[SH]CCN1 C1=[SH:1]CCN1
C1=[SH]CCN1 C1=[SH]CC[NH:1]1
C1=[SH]CCN1 C1=[SH]C[CH2:1]N1
C1=[SH]CCN1 C1=[SH][CH2:1]CN1
C1=[SH]CCN1 C1C[SH]=[CH:1]N1
C1=[SH]CCNN1 C1=[SH:1]CCNN1
C1=[SH]CCNN1 C1=[SH]CCN[NH:1]1
C1=[SH]CCNN1 C1=[SH]CC[NH:1]N1
C1=[SH]CCNN1 C1=[SH]C[CH2:1]NN1
C1=[SH]CCNN1 C1=[SH][CH2:1]CNN1
C1=[SH]CCNN1 C1C[SH]=[CH:1]NN1
C1=[SH]CCS1 C1=[SH:1]CCS1
C1=[SH]CCS1 C1=[SH]C[CH2:1]S1
C1=[SH]CCS1 C1=[SH][CH2:1]CS1
C1=[SH]CCSC1 C1=[SH:1]CCSC1
C1=[SH]CCSC1 C1=[SH]CCS[CH2:1]1
C1=[SH]CCSC1 C1=[SH]C[CH2:1]SC1
C1=[SH]CCSC1 C1=[SH][CH2:1]CSC1
C1=[SH]CCSC1 C1C[SH]=[CH:1]CS1
C1=[SH]CC[Lr]S1 C1=[SH:1]CC[Lr]S1
C1=[SH]CC[Lr]S1 C1=[SH]C[CH2:1][Lr]S1
C1=[SH]CC[Lr]S1 C1=[SH][CH2:1]C[Lr]S1
C1=[SH]CC[Lr]S1 C1C[Lr]S[CH:1]=[SH]1
C1=[SH]CN1 C1=[SH:1]CN1
C1=[SH]CN1 C1=[SH]C[NH:1]1
C1=[SH]CN1 C1=[SH][CH2:1]N1
C1=[SH]CN1 C1N[CH:1]=[SH]1
C1=[SH]CNC1 C1=[SH:1]CNC1
C1=[SH]CNC1 C1=[SH]CN[CH2:1]1
C1=[SH]CNC1 C1=[SH][CH2:1]NC1
C1=[SH]CNC1 C1NC[CH:1]=[SH]1
C1=[SH]CNCC1 C1=[SH:1]CNCC1
C1=[SH]CNCC1 C1=[SH]CNC[CH2:1]1
C1=[SH]CNCC1 C1=[SH]CN[CH2:1]C1
C1=[SH]CNCC1 C1=[SH]C[NH:1]CC1
C1=[SH]CNCC1 C1=[SH][CH2:1]NCC1
C1=[SH]CNCC1 C1C[CH:1]=[SH]CN1
C1=[SH]CNCS1 C1=[SH:1]CNCS1
C1=[SH]CNCS1 C1=[SH]CN[CH2:1]S1
C1=[SH]CNCS1 C1=[SH][CH2:1]NCS1
C1=[SH]CNN1 C1=[SH:1]CNN1
C1=[SH]CNN1 C1=[SH]CN[NH:1]1
C1=[SH]CNN1 C1=[SH][CH2:1]NN1
C1=[SH]CNN1 C1NN[CH:1]=[SH]1
C1=[SH]CSS1 C1=[SH:1]CSS1
C1=[SH]CSS1 C1=[SH]C[S:1]S1
C1=[SH]CSS1 C1=[SH][CH2:1]SS1
C1=[SH]CSS1 C1SS[CH:1]=[SH]1
C1=[SH]NC1 C1=[SH:1]NC1
C1=[SH]NC1 C1=[SH]N[CH2:1]1
C1=[SH]NC1 C1=[SH][NH:1]C1
C1=[SH]NC1 C1N[SH]=[CH:1]1
C1=[SH]NNCN1 C1=[SH:1]NNCN1
C1=[SH]NNCN1 C1=[SH]NNC[NH:1]1
C1=[SH]NNCN1 C1=[SH]NN[CH2:1]N1
C1=[SH]NNCN1 C1=[SH]N[NH:1]CN1
C1=[SH]NNCN1 C1=[SH][NH:1]NCN1
C1=[SH]NNCN1 C1NN[SH]=[CH:1]N1
C1=[SH]SC1 C1=[SH:1]SC1
C1=[SH]SC1 C1=[SH:1][S:1]C1
C1=[SH]SC1 C1=[SH]S[CH2:1]1
C1=[SH]SC1 C1=[SH][S:1]C1
C1=[SH]SC1 C1S[SH]=[CH:1]1
C1=[SH]SCCCS1 C1=[SH:1]SCCCS1
C1=[SH]SCCCS1 C1=[SH:1][S:1]CCCS1
C1=[SH]SCCCS1 C1=[SH]SCC[CH2:1]S1
C1=[SH]SCCCS1 C1=[SH]SC[CH2:1]CS1
C1=[SH]SCCCS1 C1=[SH]SC[CH2:1][CH2:1]S1
C1=[SH]SCCCS1 C1=[SH]S[CH2:1]CCS1
C1=[SH]SCCCS1 C1=[SH][S:1]CCCS1
C1=[SH]SCCCS1 C1CS[SH]=[CH:1]SC1
C1CC1 C1C[CH2:1]1
C1CC1 C1[CH2:1][CH2:1]1
C1CCC1 C1C[CH2:1]C1
C1CCC1 C1C[CH2:1][CH2:1]1
C1CCCC1 C1CC[CH2:1]C1
C1CCCC1 C1C[CH2:1][CH2:1]C1
C1CCCCC1 C1CC[CH2:1]CC1
C1CCCCC1 C1CC[CH2:1][CH2:1]C1
C1CCCCC1 C1C[CH2:1][CH2:1][CH2:1]C1
C1CCCCCC1 C1CCC[CH2:1]CC1
C1CCCCCC1 C1CC[CH2:1][CH2:1]CC1
C1CCNC1 C1CC[NH:1]C1
C1CCNC1 C1CN[CH2:1]C1
C1CCNC1 C1C[CH2:1]CN1
C1CCNC1 C1C[CH2:1][CH2:1]N1
C1CCNC1 C1NC[CH2:1][CH2:1]1
C1CCNCC1 C1CC[CH2:1]NC1
C1CCNCC1 C1CC[NH:1]CC1
C1CCNCC1 C1CNC[CH2:1]C1
C1CCNCC1 C1CN[CH2:1][CH2:1]C1
C1CCNCC1 C1C[CH2:1]CCN1
C1CCNCNC1 C1CCN[CH2:1]NC1
C1CCNCNC1 C1CC[NH:1]CNC1
C1CCNCNC1 C1CNCN[CH2:1]C1
C1CCNCNC1 C1C[CH2:1]CNCN1
C1CCNNC1 C1CC[NH:1]NC1
C1CCNNC1 C1CNN[CH2:1]C1
C1CCNNC1 C1C[CH2:1]CNN1
C1CCOC1 C1CO[CH2:1]C1
C1CCOC1 C1C[CH2:1]CO1
C1CCOC1 C1C[CH2:1][CH2:1]O1
C1CCOCC1 C1CC[CH2:1]OC1
C1CCOCC1 C1COC[CH2:1]C1
C1CCOCC1 C1C[CH2:1]CCO1
C1CCOOC1 C1COO[CH2:1]C1
C1CCOOC1 C1C[CH2:1]COO1
C1CCOOC1 C1C[CH2:1][CH2:1]OO1
C1CCSC1 C1CC[S:1]C1
C1CCSC1 C1CS[CH2:1]C1
C1CCSC1 C1C[CH2:1]CS1
C1CCSC1 C1C[CH2:1][CH2:1]S1
C1CCSCC1 C1CC[CH2:1]SC1
C1CCSCC1 C1CSC[CH2:1]C1
C1CCSCC1 C1CS[CH2:1][CH2:1]C1
C1CCSCC1 C1C[CH2:1]CCS1
C1CCSCC1 C1C[CH2:1][CH2:1]CS1
C1CCSNC1 C1CC[NH:1]SC1
C1CCSNC1 C1CNS[CH2:1]C1
C1CCSNC1 C1CSN[CH2:1]C1
C1CCSNC1 C1C[CH2:1]CNS1
C1CCSNC1 C1C[CH2:1]CSN1
C1CCSNC1 C1C[CH2:1][CH2:1]NS1
C1CCSNC1 C1C[CH2:1][CH2:1]SN1
C1CN1 C1C[NH:1]1
C1CN1 C1N[CH2:1]1
C1CN1 C1[CH2:1][NH:1]1
C1CN1 N1[CH2:1][CH2:1]1
C1CN=N1 C1N=N[CH2:1]1
C1CN=N1 N1=N[CH2:1][CH2:1]1
C1CN=NNC1 C1CN=N[NH:1]C1
C1CN=NNC1 C1C[CH2:1]N=NN1
C1CN=NNC1 C1C[CH2:1]NN=N1
C1CN=NNC1 C1N=NNC[CH2:1]1
C1CN=[SH]NC1 C1CN=[SH:1]NC1
C1CN=[SH]NC1 C1CN=[SH][NH:1]C1
