C C
C1=CC=NNN=C1 C1=NNN=C[CH:1]=C1
C1=CC=NSC=C1 C1=CC=[CH:1]SN=C1
C1=CC=NSC=C1 C1=CSN=C[CH:1]=C1
C1=CC=NSC=C1 C1=CSN=[CH:1]C=C1
C1=CC=NSC=C1 C1=C[CH:1]=CC=NS1
C1=CC=NSC=C1 C1=C[CH:1]=CSN=C1
C1=CC=[SH]C=C1 C1=CC=[CH:1][SH]=C1
C1=CC=[SH]C=C1 C1=CC=[SH:1]C=C1
C1=CC=[SH]C=C1 C1=CC=[SH:1][CH:1]=C1
C1=CC=[SH]C=C1 C1=C[CH:1]=CC=[SH]1
C1=CC=[SH]C=C1 C1=C[CH:1]=C[SH]=C1
C1=CC=[SH]C=C1 C1=C[SH]=C[CH:1]=C1
C1=CC=[SH]C=C1 C1=C[SH]=[CH:1]C=C1
C1=CCC1 C1=C[CH2:1]C1
C1=CCC1 C1=C[CH2:1][CH2:1]1
C1=CCC1 C1=[CH:1]CC1
C1=CCC1 C1=[CH:1][CH2:1]C1
C1=CCC1 C1C[CH:1]=[CH:1]1
C1=CCC=C1 C1=CC[CH:1]=C1
C1=CCC=C1 C1=C[CH2:1]C=C1
C1=CCC=C1 C1=C[CH2:1][CH:1]=C1
C1=CCC=C1 C1=C[CH:1]=CC1
C1=CCC=C1 C1=C[CH:1]=[CH:1]C1
C1=CCC=C1 C1=[CH:1][CH:1]=CC1
C1=CCC=CC1 C1=CC[CH:1]=CC1
C1=CCC=CC1 C1=CC[CH:1]=[CH:1]C1
C1=CCC=CC1 C1=C[CH2:1]C=CC1
C1=CCC=CC1 C1=C[CH2:1][CH:1]=CC1
C1=CCC=CN=C1 C1=CCC=[CH:1]N=C1
C1=CCC=CN=C1 C1=CC[CH:1]=CN=C1
C1=CCC=CN=C1 C1=CN=CC=[CH:1]C1
C1=CCC=CN=C1 C1=CN=C[CH:1]=CC1
C1=CCC=CN=C1 C1=CN=[CH:1]C=CC1
C1=CCC=CN=C1 C1=C[CH2:1]C=CN=C1
C1=CCC=CN=C1 C1=C[CH2:1][CH:1]=CC=N1
C1=CCC=CN=C1 C1=C[CH2:1][CH:1]=CN=C1
C1=CCC=NC=C1 C1=CCC=N[CH:1]=C1
C1=CCC=NC=C1 C1=CC[CH:1]=NC=C1
C1=CCC=NC=C1 C1=CN=CC[CH:1]=C1
C1=CCC=NC=C1 C1=CN=C[CH2:1]C=C1
C1=CCC=NC=C1 C1=CN=C[CH2:1][CH:1]=C1
C1=CCC=NC=C1 C1=C[CH:1]=CCC=N1
C1=CCC=NC=C1 C1=C[CH:1]=CN=CC1
C1=CCCC1 C1=CC[CH2:1]C1
C1=CCCC1 C1=C[CH2:1]CC1
C1=CCCC1 C1=C[CH2:1][CH2:1]C1
C1=CCCC1 C1=[CH:1]CCC1
C1=CCCC1 C1=[CH:1][CH2:1]CC1
C1=CCCC1 C1C[CH:1]=[CH:1]C1
C1=CCCC=1 C1=CCC[CH:1]=1
C1=CCCC=1 C1=CC[CH2:1]C=1
C1=CCCC=C1 C1=CCC[CH:1]=C1
C1=CCCC=C1 C1=CC[CH2:1]C=C1
C1=CCCC=C1 C1=CC[CH2:1][CH:1]=C1
C1=CCCC=C1 C1=C[CH2:1][CH2:1]C=C1
C1=CCCC=C1 C1=C[CH:1]=CCC1
C1=CCCC=C1 C1=C[CH:1]=[CH:1]CC1
C1=CCCC=C1 C1=[CH:1][CH:1]=CCC1
C1=CCCC=CC1 C1=CCC[CH:1]=CC1
C1=CCCC=CC1 C1=CC[CH2:1]C=CC1
C1=CCCC=CC1 C1=CC[CH2:1][CH:1]=[CH:1]C1
C1=CCCC=CC1 C1=CC[CH:1]=CCC1
C1=CCCC=CC1 C1=CC[CH:1]=[CH:1]CC1
C1=CCCC=CC1 C1=C[CH2:1]C=CCC1
C1=CCCC=CC1 C1=C[CH2:1][CH2:1]C=CC1
C1=CCCC=CC1 C1=[CH:1][CH2:1][CH:1]=CCC1
C1=CCCCC1 C1=CC[CH2:1]CC1
C1=CCCCC1 C1=CC[CH2:1][CH2:1]C1
C1=CCCCC1 C1=C[CH2:1]CCC1
C1=CCCCC1 C1=C[CH2:1][CH2:1]CC1
C1=CCCCC1 C1=[CH:1]CCCC1
C1=CCCCC1 C1=[CH:1][CH2:1]CCC1
C1=CCCCC1 C1CC[CH:1]=[CH:1]C1
C1=CCCCC=1 C1=CCCC[CH:1]=1
C1=CCCCC=1 C1=CCC[CH2:1]C=1
C1=CCCCC=1 C1=CC[CH2:1]CC=1
C1=CCCCC=C1 C1=CCCC[CH:1]=C1
C1=CCCCC=C1 C1=CCC[CH2:1]C=C1
C1=CCCCC=C1 C1=CCC[CH2:1][CH:1]=C1
C1=CCCCC=C1 C1=CC[CH2:1]CC=C1
C1=CCCCC=C1 C1=CC[CH2:1][CH2:1]C=C1
C1=CCCCC=C1 C1=C[CH2:1][CH2:1][CH2:1][CH:1]=C1
C1=CCCCC=C1 C1=C[CH:1]=CCCC1
C1=CCCCC=C1 C1=C[CH:1]=[CH:1]CCC1
C1=CCCCC=C1 C1=[CH:1][CH:1]=CCCC1
C1=CCCCCC1 C1=CCC[CH2:1]CC1
C1=CCCCCC1 C1=CC[CH2:1]CCC1
C1=CCCCCC1 C1=CC[CH2:1][CH2:1]CC1
C1=CCCCCC1 C1=C[CH2:1]CCCC1
C1=CCCCCC1 C1=C[CH2:1][CH2:1]CCC1
C1=CCCCCC1 C1=[CH:1]CCCCC1
C1=CCCCCC1 C1CC[CH2:1][CH:1]=[CH:1]C1
C1=CCCCCC1 C1CC[CH:1]=[CH:1]CC1
C1=CCCCCC=1 C1=CCCCC[CH:1]=1
C1=CCCCCC=1 C1=CCCC[CH2:1]C=1
C1=CCCCCC=1 C1=CCC[CH2:1]CC=1
