Unnamed: 0,branch_smiles,id2mof,metal_node,mof_index,organic_core,randomized,topology,train/test
1011,CSc1cc(-c2cnn([Lr])c2SC)ncc2c(SC)c(O)nc1-2,0,sym_7_mc_4,14133.0,None,False,acs,1
1012,Oc1cc([Lr])ccc1C#CC#Cc1cc(O)c([Lr])c(O)c1O,0,sym_7_mc_4,14157.0,None,False,acs,1
1013,Sc1cc([Lr])ccc1C#CC#Cc1cc(S)c([Lr])c(S)c1S,0,sym_7_mc_4,14159.0,None,False,acs,0
1014,Pc1cc([Lr])ccc1C#CC#Cc1c(P)cc([Lr])c(P)c1P,0,sym_7_mc_4,14160.0,None,False,acs,1
1015,CC1=C(C2=C(C)N([Lr])N=NN=C2)C=NN([Lr])N=C1,0,sym_7_mc_4,14166.0,None,False,acs,1
1016,O=C=NC(CC(N=C=O)(N=C=O)C([Lr])N=C=O)O[Lr],0,sym_7_mc_4,14182.0,None,False,acs,1
1017,O=S(O)C1N([Lr])C=NC([Lr])C1(S(=O)O)S(=O)O,0,sym_7_mc_4,14206.0,None,False,acs,0
1018,O=P(O)(O)OC1=C(C([Lr])OP(=O)(O)O)C=C1[Lr],0,sym_7_mc_4,14208.0,None,False,acs,0
1019,O=S(O)C1=C(S(=O)O)N([Lr])NC(S(=O)O)C1[Lr],0,sym_7_mc_4,14230.0,None,False,acs,1
1020,O=S(O)C1C([Lr])=CN([Lr])C(S(=O)O)C1S(=O)O,0,sym_7_mc_4,14244.0,None,False,acs,1
1021,O=C(O)CC1=C([Lr])CC(C(=O)O)(C(=O)O)N1[Lr],0,sym_7_mc_4,14262.0,None,False,acs,1
1022,[Lr]/C(=C/c1ccc(-c2ccccc2)n1[Lr])c1ccccc1,0,sym_7_mc_4,14266.0,None,False,acs,1
1023,N=C1SCC([Lr])(N=C=O)C(N=C=O)C1([Lr])N=C=O,0,sym_7_mc_4,14274.0,None,False,acs,1
1024,O=S(O)Cc1nn([Lr])c(C(S(=O)O)S(=O)O)c1[Lr],0,sym_7_mc_4,14281.0,None,False,acs,1
1025,S=CC1NNC([Lr])(C=S)N(C(C=S)(C=S)SS)N1[Lr],0,sym_7_mc_4,14297.0,None,False,acs,1
1026,OSC(O)C(SC(O)SC=C(O)C(O)[Lr])C(O)C(O)[Lr],0,sym_7_mc_4,14346.0,None,False,acs,1
1027,COOC(OC)(OOOO[Lr])OC(=CC(OC)C(C[Lr])OC)OC,0,sym_7_mc_4,14399.0,None,False,acs,1
1028,CSC1C=C(CC(C[Lr])(SC)SC)C(SC)(SC)N=C1[Lr],0,sym_7_mc_4,14410.0,None,False,acs,1
1029,CCC([Lr])=Cc1cc(CC)c(C(CC)C[Lr])c(CC)c1CC,0,sym_7_mc_4,14415.0,None,False,acs,0
1030,[Lr]C#CC1=C(n2ccnc2)C(OC([Lr])n2ccnc2)=C1,0,sym_7_mc_4,14420.0,None,False,acs,1
1031,NCC1=C([Lr])C(C(CN)CN)=C1C(CN)OCC([Lr])CN,0,sym_7_mc_4,14423.0,None,False,acs,1
1032,S=C1SC([Lr])=S(c2ccncc2)C(c2ccncc2)C1[Lr],0,sym_7_mc_4,14430.0,None,False,acs,1
1033,S=C1SC([Lr])C(c2ccccc2)=S(c2ccccc2)C1[Lr],0,sym_7_mc_4,14432.0,None,False,acs,1
1034,N#COC1=C([Lr])C2=CC(OC#N)C(OC#N)C2=C1[Lr],0,sym_7_mc_4,14445.0,None,False,acs,1
1035,OOC1=C([Lr])C2(OO)CC2(OO)C(OC([Lr])OO)=C1,0,sym_7_mc_4,14448.0,None,False,acs,0
1036,BrC(=C[Lr])C1=CC(C(Br)C(Br)=C(Br)[Lr])=C1,0,sym_7_mc_4,14456.0,None,False,acs,1
1037,OOc1cc(N(OO)c2cccc(OO)c2[Lr])c(OO)cc1[Lr],0,sym_7_mc_4,14475.0,None,False,acs,1
1038,O=C=NC1=NC(N=C=O)C2=C([Lr])C=C([Lr])C2=C1,0,sym_7_mc_4,14499.0,None,False,acs,1
1039,C#CC1=C(/C=C/[Lr])C(C#C)=C1/C(C#C)=C/[Lr],0,sym_7_mc_4,14536.0,None,False,acs,1
1040,S=Cc1c([Lr])ccc(-c2cn([Lr])c(C=S)n2)c1C=S,0,sym_7_mc_4,14542.0,None,False,acs,1
1041,O=S(O)C1=C([Lr])N=C1Oc1cc([Lr])cnc1S(=O)O,0,sym_7_mc_4,14556.0,None,False,acs,1
1042,NC(=O)C1=C(Oc2ccc([Lr])nc2C(N)=O)C=C1[Lr],0,sym_7_mc_4,14591.0,None,False,acs,1
1043,NC(=O)C1=NC(Oc2cc([Lr])ccc2C(N)=O)=C1[Lr],0,sym_7_mc_4,14610.0,None,False,acs,1
1044,NC(=O)c1cc(-c2ncc([Lr])nc2C(N)=O)nnc1[Lr],0,sym_7_mc_4,14621.0,None,False,acs,1
1045,CP(C)c1cc([Lr])nnc1-c1cnc([Lr])c(P(C)C)n1,0,sym_7_mc_4,14624.0,None,False,acs,1
1046,Cc1ccc([Lr])c(C2=C(C(C)C)C=C([Lr])C2C)c1C,0,sym_7_mc_4,14646.0,None,False,acs,1
1047,N#CC1=C([Lr])C(C#N)=C1OOc1ccc([Lr])cc1C#N,0,sym_7_mc_4,14658.0,None,False,acs,1
1048,CCC1=C([Lr])C(=O)C(c2ccc([Lr])c(CC)c2)=N1,0,sym_7_mc_4,14676.0,None,False,acs,0
1049,O=c1cc(-c2ccc([Lr])cc2Br)c(Br)c(Br)n1[Lr],0,sym_7_mc_4,14679.0,None,False,acs,1
1050,Clc1c([Lr])cc2sc3c([Lr])cc-3cc-2c(Cl)c1Cl,0,sym_7_mc_4,14705.0,None,False,acs,1
